%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1728033277286996195,834,1728033277286591945,gps,0,1,36.168227,128.4681343,122.414,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
1728033277387784324,835,1728033277387419274,gps,0,1,36.1682276,128.4681344,122.388,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
1728033277488357411,836,1728033277487857320,gps,0,1,36.168228299999996,128.4681345,122.373,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.620944,2
1728033277587882396,837,1728033277587480188,gps,0,1,36.1682288,128.46813459999998,122.336,0.3721,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.620944,2
1728033277687368114,838,1728033277686847160,gps,0,1,36.1682294,128.4681347,122.321,0.3721,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.620944,2
1728033277788238537,839,1728033277787805168,gps,0,1,36.1682298,128.4681347,122.321,0.3721,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.620944,2
1728033277888092626,840,1728033277887517772,gps,0,1,36.1682304,128.4681348,122.279,0.3721,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.620944,2
1728033277987109875,841,1728033277986591082,gps,0,1,36.1682309,128.4681349,122.269,0.3721,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.620944,2
1728033278088103873,842,1728033278087629340,gps,0,1,36.168231299999995,128.468135,122.242,0.37332099999999996,0.0,0.0,0.0,0.37332099999999996,0.0,0.0,0.0,0.620944,2
1728033278190416399,843,1728033278189969198,gps,0,1,36.168231899999995,128.46813509999998,122.223,0.37332099999999996,0.0,0.0,0.0,0.37332099999999996,0.0,0.0,0.0,0.620944,2
1728033278288559695,844,1728033278288142218,gps,0,1,36.1682322,128.46813509999998,122.18900000000001,0.37332099999999996,0.0,0.0,0.0,0.37332099999999996,0.0,0.0,0.0,0.620944,2
1728033278386713572,845,1728033278386167026,gps,0,1,36.1682327,128.4681352,122.175,0.37332099999999996,0.0,0.0,0.0,0.37332099999999996,0.0,0.0,0.0,0.620944,2
1728033278488255939,846,1728033278487739829,gps,0,1,36.168233,128.4681353,122.156,0.37332099999999996,0.0,0.0,0.0,0.37332099999999996,0.0,0.0,0.0,0.620944,2
1728033278587171794,847,1728033278586700200,gps,0,1,36.1682336,128.4681353,122.144,0.37332099999999996,0.0,0.0,0.0,0.37332099999999996,0.0,0.0,0.0,0.620944,2
1728033278689097792,848,1728033278688714388,gps,0,1,36.168234,128.4681354,122.12400000000001,0.374544,0.0,0.0,0.0,0.374544,0.0,0.0,0.0,0.620944,2
1728033278789064187,849,1728033278788658287,gps,0,1,36.1682347,128.4681355,122.093,0.374544,0.0,0.0,0.0,0.374544,0.0,0.0,0.0,0.620944,2
1728033278887964569,850,1728033278887695451,gps,0,1,36.1682351,128.4681355,122.07600000000001,0.374544,0.0,0.0,0.0,0.374544,0.0,0.0,0.0,0.620944,2
1728033278988335647,851,1728033278987812114,gps,0,1,36.168235599999996,128.4681355,122.07600000000001,0.374544,0.0,0.0,0.0,0.374544,0.0,0.0,0.0,0.620944,2
1728033279086104744,852,1728033279085675923,gps,0,1,36.1682361,128.4681355,122.045,0.374544,0.0,0.0,0.0,0.374544,0.0,0.0,0.0,0.620944,2
