%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1728111972891121816,23032,1728111972890854227,/map,0.01871994870686997,-0.003028983813173757,0.0037137578593853756,0.9998132809580164,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.007033676885537149,-0.001832595714594046,-0.004171336912266448,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.43149259999999995,-0.1372931,9.71839015,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972901410119,23033,1728111972901042588,/map,0.018719922273286903,-0.00302914717542879,0.003705032842415135,0.9998133133285976,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.0011519173063162576,0.0040666171571467884,-0.011222467090323538,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.392266,-0.1372931,9.81645665,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972911369350,23034,1728111972910999784,/map,0.018719833345827153,-0.0030118604948438646,0.0036959814942311275,0.9998134007186832,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.001117010721276371,0.004782202150464463,-0.003351032163829113,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.38245935,-0.12748644999999997,9.7674234,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972921514624,23035,1728111972921164209,/map,0.018719864592765492,-0.0030205855162635173,0.003696144659837672,0.9998133732089309,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.003735004599267865,-0.00783652834145454,-0.0005585053606381855,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.45110589999999995,-0.12748644999999997,9.7870367,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972933152784,23036,1728111972932645954,/map,0.018737261904290845,-0.0030208480332826384,0.003678747348312322,0.9998131106919118,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.0016580627893946131,0.003525565089028546,-5.235987755982989e-05,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.32361945,-0.1176798,9.81645665,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972944395040,23037,1728111972944020440,/map,0.01874590325122356,-0.0030124180905436015,0.0036611602866661297,0.9998130386996855,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,-0.0015184364492350666,0.002408554367752175,-0.0009948376736367678,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.35303939999999995,-0.12748644999999997,9.7870367,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972954634886,23038,1728111972954269294,/map,0.018763248115368194,-0.003013009153534803,0.003626312813065791,0.9998128385609898,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.007958701389094143,-0.002617993877991494,-0.0031764992386296795,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.38245935,-0.0196133,9.7870367,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972965029737,23039,1728111972964636114,/map,0.01879809556821915,-0.003013210658622299,0.0036089679696705438,0.9998122461316067,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.011571532940722405,-0.006562437987498679,0.002007128639793479,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.38245935,0.0588399,9.7870367,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972975362203,23040,1728111972974843028,/map,0.018815553648539193,-0.003030926080203012,0.003591898560933622,0.999811925660383,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.00301941960595019,-0.00947713783832921,-0.006998770300497262,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.36284605,0.08825984999999999,9.845876599999999,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
1728111972985174499,23041,1728111972984811512,/map,0.01886790745400022,-0.003039627658229764,0.003583496720961497,0.9998109427703106,0.00022689280275926284,0.0,0.0,0.0,0.00019198621771937625,0.0,0.0,0.0,0.00010471975511965978,0.005881759579220891,0.006457718232379019,-0.005969026041820607,0.0005585053606381855,0.0,0.0,0.0,0.0004886921905584122,0.0,0.0,0.0,0.00010471975511965978,-0.4216859499999999,0.1176798,9.81645665,0.0064,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0064
